Store#,Pool_ID,Pool#,AddressName
0001,FRA,2693,"Bed Bath and Beyond #2693
c/o Ryder Integrated Logistics, Inc."
0006,SPR,2690,Palmer Dedicated Logistics
0008,SCA,2613,Bed Bath and Beyond #2613 c/o Taylored Services
0009,FRA,2693,"Bed Bath and Beyond #2693
c/o Ryder Integrated Logistics, Inc."
0012,SPR,2690,Palmer Dedicated Logistics
0020,SCA,2613,Bed Bath and Beyond #2613 c/o Taylored Services
0023,SCA,2613,Bed Bath and Beyond #2613 c/o Taylored Services
0024,STK,2680,Glibert Company
0025,SCA,2613,Bed Bath and Beyond #2613 c/o Taylored Services
0026,STK,2680,Glibert Company
0027,FRA,2693,"Bed Bath and Beyond #2693
c/o Ryder Integrated Logistics, Inc."
0029,BAL,2664,International Distribution Group
0031,SCA,2613,Bed Bath and Beyond #2613 c/o Taylored Services
0032,CHI,2625,Demar Logistics
0033,BAL,2664,International Distribution Group
0034,MIA,2673,International Distribution Group
0035,BAL,2664,International Distribution Group
0036,CHI,2625,Demar Logistics
0037,LIS,2654,Int'l Warehouse Group
0038,STK,2680,Glibert Company
0039,CHI,2625,Demar Logistics
0040,SPR,2690,Palmer Dedicated Logistics
0042,NA,NA,NA
0043,DET,2686,Tantara
0044,DET,2686,Tantara
0045,HOU,2659,Pathmark Transportation - HOU
0046,MIA,2673,International Distribution Group
0047,PHO,2642,Phoenix -Legacy SCS
0049,DET,2686,Tantara
0051,HOU,2659,Pathmark Transportation - HOU
0052,BAL,2664,International Distribution Group
0053,CHI,2625,Demar Logistics
0054,CLE,2674,Beitler Final Mile LLC
0055,MIA,2673,International Distribution Group
0057,ATL,2689,HNRY Logistics
0058,FRA,2693,"Bed Bath and Beyond #2693
c/o Ryder Integrated Logistics, Inc."
0059,MIA,2673,International Distribution Group
0060,CLE,2674,Beitler Final Mile LLC
0061,DAL,2694,Bed Bath and Beyond #2694 c/o JW Logistics
0063,CHI,2625,Demar Logistics
0064,CHI,2625,Demar Logistics
0065,BAL,2664,International Distribution Group
0066,ATL,2689,HNRY Logistics
0067,DAL,2694,Bed Bath and Beyond #2694 c/o JW Logistics
0068,DEN,2682,Freight Systems 
0069,ORL,2651,Pathmark Transportation -ORL
0080,ATL,2689,HNRY Logistics
0082,DAL,2694,Bed Bath and Beyond #2694 c/o JW Logistics
0083,SCA,2613,Bed Bath and Beyond #2613 c/o Taylored Services
0085,SEA,2687,Schneider Logistics
0086,KCM,2646,"24/7 Express Logistics, Inc."
0087,KCM,2646,"24/7 Express Logistics, Inc."
0088,HOU,2659,Pathmark Transportation - HOU
0090,ORL,2651,Pathmark Transportation -ORL
0092,MIA,2673,International Distribution Group
0094,BAL,2664,International Distribution Group
0097,HOU,2659,Pathmark Transportation - HOU
0098,ATL,2689,HNRY Logistics
0099,ORL,2651,Pathmark Transportation -ORL
0101,SCA,2613,Bed Bath and Beyond #2613 c/o Taylored Services
0102,SPR,2690,Palmer Dedicated Logistics
0103,ATL,2689,HNRY Logistics
0106,BAL,2664,International Distribution Group
0107,KCM,2646,"24/7 Express Logistics, Inc."
0108,CHI,2625,Demar Logistics
0110,BAL,2664,International Distribution Group
0111,PHO,2642,Phoenix -Legacy SCS
0113,DET,2686,Tantara
0114,BAL,2664,International Distribution Group
0115,FRA,2693,"Bed Bath and Beyond #2693
c/o Ryder Integrated Logistics, Inc."
0116,HOU,2659,Pathmark Transportation - HOU
0118,ATL,2689,HNRY Logistics
0119,CLE,2674,Beitler Final Mile LLC
0121,MEM,2670,Pathmark Transportation - MEM
0122,SCA,2613,Bed Bath and Beyond #2613 c/o Taylored Services
0123,CHR,2662,Distribution Technology
0124,CHR,2662,Distribution Technology
0125,BUF,2668,Regional Integrated Logistics
